id,provider_id,provider_name,state_id,county_id,source_url,source_host,clue_page_type,clue_field,current_status,decision,clue_page_url,clue_value,clue_text,review_notes,reviewed_by
prov-acc-review__prov-fau-card-fl__patient_services__accessibility_notes,prov-fau-card-fl,FAU CARD (Boca Raton),florida,palm-beach-fl,https://www.fau.edu/education/centersandprograms/card/,fau.edu,patient_services,accessibility_notes,queued,,,,,"Seeded review task for FAU CARD (Boca Raton). Check patient services or patient info pages for transportation, accessibility, interpreter, and family-support notes. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fau-card-fl__patient_services__home_visits,prov-fau-card-fl,FAU CARD (Boca Raton),florida,palm-beach-fl,https://www.fau.edu/education/centersandprograms/card/,fau.edu,patient_services,home_visits,queued,,,,,"Seeded review task for FAU CARD (Boca Raton). Check patient services or patient info pages for transportation, accessibility, interpreter, and family-support notes. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fau-card-fl__patient_services__transportation_help,prov-fau-card-fl,FAU CARD (Boca Raton),florida,palm-beach-fl,https://www.fau.edu/education/centersandprograms/card/,fau.edu,patient_services,transportation_help,queued,,,,,"Seeded review task for FAU CARD (Boca Raton). Check patient services or patient info pages for transportation, accessibility, interpreter, and family-support notes. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fau-card-fl__patient_services__wheelchair_accessible,prov-fau-card-fl,FAU CARD (Boca Raton),florida,palm-beach-fl,https://www.fau.edu/education/centersandprograms/card/,fau.edu,patient_services,wheelchair_accessible,queued,,,,,"Seeded review task for FAU CARD (Boca Raton). Check patient services or patient info pages for transportation, accessibility, interpreter, and family-support notes. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fau-card-fl__program_overview__application_url,prov-fau-card-fl,FAU CARD (Boca Raton),florida,palm-beach-fl,https://www.fau.edu/education/centersandprograms/card/,fau.edu,program_overview,application_url,queued,,,,,"Seeded review task for FAU CARD (Boca Raton). Check the main program page for language, referral, family-support, and intake or eligibility instructions. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fau-card-fl__program_overview__in_person_services,prov-fau-card-fl,FAU CARD (Boca Raton),florida,palm-beach-fl,https://www.fau.edu/education/centersandprograms/card/,fau.edu,program_overview,in_person_services,queued,,,,,"Seeded review task for FAU CARD (Boca Raton). Check the main program page for language, referral, family-support, and intake or eligibility instructions. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fau-card-fl__program_overview__requirements,prov-fau-card-fl,FAU CARD (Boca Raton),florida,palm-beach-fl,https://www.fau.edu/education/centersandprograms/card/,fau.edu,program_overview,requirements,queued,,,,,"Seeded review task for FAU CARD (Boca Raton). Check the main program page for language, referral, family-support, and intake or eligibility instructions. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-card-fl__accessibility_page__asl_available,prov-fsu-card-fl,FSU CARD (Tallahassee),florida,leon-fl,https://fsucard.com,fsucard.com,accessibility_page,asl_available,queued,,,,,"Seeded review task for FSU CARD (Tallahassee). Check official accessibility or interpreter pages for language access, ASL, wheelchair, and patient-access statements that plausibly apply to clinic visits. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-card-fl__accessibility_page__interpreter_available,prov-fsu-card-fl,FSU CARD (Tallahassee),florida,leon-fl,https://fsucard.com,fsucard.com,accessibility_page,interpreter_available,queued,,,,,"Seeded review task for FSU CARD (Tallahassee). Check official accessibility or interpreter pages for language access, ASL, wheelchair, and patient-access statements that plausibly apply to clinic visits. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-card-fl__accessibility_page__wheelchair_accessible,prov-fsu-card-fl,FSU CARD (Tallahassee),florida,leon-fl,https://fsucard.com,fsucard.com,accessibility_page,wheelchair_accessible,queued,,,,,"Seeded review task for FSU CARD (Tallahassee). Check official accessibility or interpreter pages for language access, ASL, wheelchair, and patient-access statements that plausibly apply to clinic visits. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-card-fl__appointment_page__referral_url,prov-fsu-card-fl,FSU CARD (Tallahassee),florida,leon-fl,https://fsucard.com,fsucard.com,appointment_page,referral_url,queued,,,,,"Seeded review task for FSU CARD (Tallahassee). Check scheduling and referral pages for interpreter requests, telehealth, appointment-required, and referral-required wording. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-card-fl__appointment_page__requirements,prov-fsu-card-fl,FSU CARD (Tallahassee),florida,leon-fl,https://fsucard.com,fsucard.com,appointment_page,requirements,queued,,,,,"Seeded review task for FSU CARD (Tallahassee). Check scheduling and referral pages for interpreter requests, telehealth, appointment-required, and referral-required wording. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-card-fl__appointment_page__virtual_services,prov-fsu-card-fl,FSU CARD (Tallahassee),florida,leon-fl,https://fsucard.com,fsucard.com,appointment_page,virtual_services,queued,,,,,"Seeded review task for FSU CARD (Tallahassee). Check scheduling and referral pages for interpreter requests, telehealth, appointment-required, and referral-required wording. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-card-fl__contact_page__interpreter_available,prov-fsu-card-fl,FSU CARD (Tallahassee),florida,leon-fl,https://fsucard.com,fsucard.com,contact_page,interpreter_available,queued,,,,,"Seeded review task for FSU CARD (Tallahassee). Check for explicit languages, multilingual phone lines, interpreter wording, and contact-form language choices. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-card-fl__contact_page__languages,prov-fsu-card-fl,FSU CARD (Tallahassee),florida,leon-fl,https://fsucard.com,fsucard.com,contact_page,languages,queued,,,,,"Seeded review task for FSU CARD (Tallahassee). Check for explicit languages, multilingual phone lines, interpreter wording, and contact-form language choices. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-card-fl__contact_page__next_step_type,prov-fsu-card-fl,FSU CARD (Tallahassee),florida,leon-fl,https://fsucard.com,fsucard.com,contact_page,next_step_type,queued,,,,,"Seeded review task for FSU CARD (Tallahassee). Check for explicit languages, multilingual phone lines, interpreter wording, and contact-form language choices. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-card-fl__patient_services__accessibility_notes,prov-fsu-card-fl,FSU CARD (Tallahassee),florida,leon-fl,https://fsucard.com,fsucard.com,patient_services,accessibility_notes,queued,,,,,"Seeded review task for FSU CARD (Tallahassee). Check patient services or patient info pages for transportation, accessibility, interpreter, and family-support notes. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-card-fl__patient_services__home_visits,prov-fsu-card-fl,FSU CARD (Tallahassee),florida,leon-fl,https://fsucard.com,fsucard.com,patient_services,home_visits,queued,,,,,"Seeded review task for FSU CARD (Tallahassee). Check patient services or patient info pages for transportation, accessibility, interpreter, and family-support notes. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-card-fl__patient_services__transportation_help,prov-fsu-card-fl,FSU CARD (Tallahassee),florida,leon-fl,https://fsucard.com,fsucard.com,patient_services,transportation_help,queued,,,,,"Seeded review task for FSU CARD (Tallahassee). Check patient services or patient info pages for transportation, accessibility, interpreter, and family-support notes. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-card-fl__patient_services__wheelchair_accessible,prov-fsu-card-fl,FSU CARD (Tallahassee),florida,leon-fl,https://fsucard.com,fsucard.com,patient_services,wheelchair_accessible,queued,,,,,"Seeded review task for FSU CARD (Tallahassee). Check patient services or patient info pages for transportation, accessibility, interpreter, and family-support notes. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-card-fl__program_overview__application_url,prov-fsu-card-fl,FSU CARD (Tallahassee),florida,leon-fl,https://fsucard.com,fsucard.com,program_overview,application_url,queued,,,,,"Seeded review task for FSU CARD (Tallahassee). Check the main program page for language, referral, family-support, and intake or eligibility instructions. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-card-fl__program_overview__in_person_services,prov-fsu-card-fl,FSU CARD (Tallahassee),florida,leon-fl,https://fsucard.com,fsucard.com,program_overview,in_person_services,queued,,,,,"Seeded review task for FSU CARD (Tallahassee). Check the main program page for language, referral, family-support, and intake or eligibility instructions. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-card-fl__program_overview__requirements,prov-fsu-card-fl,FSU CARD (Tallahassee),florida,leon-fl,https://fsucard.com,fsucard.com,program_overview,requirements,queued,,,,,"Seeded review task for FSU CARD (Tallahassee). Check the main program page for language, referral, family-support, and intake or eligibility instructions. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-mdc-fl__accessibility_page__asl_available,prov-fsu-mdc-fl,FSU Multidisciplinary Center,florida,leon-fl,https://mdc.fsu.edu,mdc.fsu.edu,accessibility_page,asl_available,queued,,,,,"Seeded review task for FSU Multidisciplinary Center. Check official accessibility or interpreter pages for language access, ASL, wheelchair, and patient-access statements that plausibly apply to clinic visits. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-mdc-fl__accessibility_page__interpreter_available,prov-fsu-mdc-fl,FSU Multidisciplinary Center,florida,leon-fl,https://mdc.fsu.edu,mdc.fsu.edu,accessibility_page,interpreter_available,queued,,,,,"Seeded review task for FSU Multidisciplinary Center. Check official accessibility or interpreter pages for language access, ASL, wheelchair, and patient-access statements that plausibly apply to clinic visits. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-mdc-fl__accessibility_page__wheelchair_accessible,prov-fsu-mdc-fl,FSU Multidisciplinary Center,florida,leon-fl,https://mdc.fsu.edu,mdc.fsu.edu,accessibility_page,wheelchair_accessible,queued,,,,,"Seeded review task for FSU Multidisciplinary Center. Check official accessibility or interpreter pages for language access, ASL, wheelchair, and patient-access statements that plausibly apply to clinic visits. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-mdc-fl__appointment_page__referral_url,prov-fsu-mdc-fl,FSU Multidisciplinary Center,florida,leon-fl,https://mdc.fsu.edu,mdc.fsu.edu,appointment_page,referral_url,queued,,,,,"Seeded review task for FSU Multidisciplinary Center. Check scheduling and referral pages for interpreter requests, telehealth, appointment-required, and referral-required wording. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-mdc-fl__appointment_page__requirements,prov-fsu-mdc-fl,FSU Multidisciplinary Center,florida,leon-fl,https://mdc.fsu.edu,mdc.fsu.edu,appointment_page,requirements,queued,,,,,"Seeded review task for FSU Multidisciplinary Center. Check scheduling and referral pages for interpreter requests, telehealth, appointment-required, and referral-required wording. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-mdc-fl__appointment_page__virtual_services,prov-fsu-mdc-fl,FSU Multidisciplinary Center,florida,leon-fl,https://mdc.fsu.edu,mdc.fsu.edu,appointment_page,virtual_services,queued,,,,,"Seeded review task for FSU Multidisciplinary Center. Check scheduling and referral pages for interpreter requests, telehealth, appointment-required, and referral-required wording. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-mdc-fl__contact_page__interpreter_available,prov-fsu-mdc-fl,FSU Multidisciplinary Center,florida,leon-fl,https://mdc.fsu.edu,mdc.fsu.edu,contact_page,interpreter_available,queued,,,,,"Seeded review task for FSU Multidisciplinary Center. Check for explicit languages, multilingual phone lines, interpreter wording, and contact-form language choices. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-mdc-fl__contact_page__languages,prov-fsu-mdc-fl,FSU Multidisciplinary Center,florida,leon-fl,https://mdc.fsu.edu,mdc.fsu.edu,contact_page,languages,queued,,,,,"Seeded review task for FSU Multidisciplinary Center. Check for explicit languages, multilingual phone lines, interpreter wording, and contact-form language choices. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-mdc-fl__contact_page__next_step_type,prov-fsu-mdc-fl,FSU Multidisciplinary Center,florida,leon-fl,https://mdc.fsu.edu,mdc.fsu.edu,contact_page,next_step_type,queued,,,,,"Seeded review task for FSU Multidisciplinary Center. Check for explicit languages, multilingual phone lines, interpreter wording, and contact-form language choices. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-mdc-fl__patient_services__accessibility_notes,prov-fsu-mdc-fl,FSU Multidisciplinary Center,florida,leon-fl,https://mdc.fsu.edu,mdc.fsu.edu,patient_services,accessibility_notes,queued,,,,,"Seeded review task for FSU Multidisciplinary Center. Check patient services or patient info pages for transportation, accessibility, interpreter, and family-support notes. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-mdc-fl__patient_services__home_visits,prov-fsu-mdc-fl,FSU Multidisciplinary Center,florida,leon-fl,https://mdc.fsu.edu,mdc.fsu.edu,patient_services,home_visits,queued,,,,,"Seeded review task for FSU Multidisciplinary Center. Check patient services or patient info pages for transportation, accessibility, interpreter, and family-support notes. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-mdc-fl__patient_services__transportation_help,prov-fsu-mdc-fl,FSU Multidisciplinary Center,florida,leon-fl,https://mdc.fsu.edu,mdc.fsu.edu,patient_services,transportation_help,queued,,,,,"Seeded review task for FSU Multidisciplinary Center. Check patient services or patient info pages for transportation, accessibility, interpreter, and family-support notes. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-mdc-fl__patient_services__wheelchair_accessible,prov-fsu-mdc-fl,FSU Multidisciplinary Center,florida,leon-fl,https://mdc.fsu.edu,mdc.fsu.edu,patient_services,wheelchair_accessible,queued,,,,,"Seeded review task for FSU Multidisciplinary Center. Check patient services or patient info pages for transportation, accessibility, interpreter, and family-support notes. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-mdc-fl__program_overview__application_url,prov-fsu-mdc-fl,FSU Multidisciplinary Center,florida,leon-fl,https://mdc.fsu.edu,mdc.fsu.edu,program_overview,application_url,queued,,,,,"Seeded review task for FSU Multidisciplinary Center. Check the main program page for language, referral, family-support, and intake or eligibility instructions. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-mdc-fl__program_overview__in_person_services,prov-fsu-mdc-fl,FSU Multidisciplinary Center,florida,leon-fl,https://mdc.fsu.edu,mdc.fsu.edu,program_overview,in_person_services,queued,,,,,"Seeded review task for FSU Multidisciplinary Center. Check the main program page for language, referral, family-support, and intake or eligibility instructions. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fsu-mdc-fl__program_overview__requirements,prov-fsu-mdc-fl,FSU Multidisciplinary Center,florida,leon-fl,https://mdc.fsu.edu,mdc.fsu.edu,program_overview,requirements,queued,,,,,"Seeded review task for FSU Multidisciplinary Center. Check the main program page for language, referral, family-support, and intake or eligibility instructions. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-nemours-childrens-health-fl__accessibility_page__asl_available,prov-nemours-childrens-health-fl,Nemours Children's Health Developmental Medicine (Orlando),florida,orange-fl,https://www.nemours.org,nemours.org,accessibility_page,asl_available,queued,,,,,"Seeded review task for Nemours Children's Health Developmental Medicine (Orlando). Check official accessibility or interpreter pages for language access, ASL, wheelchair, and patient-access statements that plausibly apply to clinic visits. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-nemours-childrens-health-fl__accessibility_page__interpreter_available,prov-nemours-childrens-health-fl,Nemours Children's Health Developmental Medicine (Orlando),florida,orange-fl,https://www.nemours.org,nemours.org,accessibility_page,interpreter_available,queued,,,,,"Seeded review task for Nemours Children's Health Developmental Medicine (Orlando). Check official accessibility or interpreter pages for language access, ASL, wheelchair, and patient-access statements that plausibly apply to clinic visits. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
