id,url,domain,family,stateId,targetTable,sourceName,scrapeLane,launchNeedClass,crawlMethod,ledgerStatus,firstPartyMode,priority,sourceArtifacts,whyNeeded,currentEvidence,doNotScrapeReason
launch-url-00011,https://www.medicaid.gov/medicaid/home-community-based-services/home-community-based-services-authorities,medicaid.gov,knowledge_content,,knowledge_content,Medicaid Home and Community-Based Services,author_first_candidate,author_first,,author_first_candidate,,0,docs/generated/knowledge-content-status-queue-2026-06-19.json,Build waiver and HCBS explainer content from official Medicaid guidance.,Do not re-fetch this target; expand the authored knowledge source pack with new exact topics instead.,
launch-url-00012,https://sites.ed.gov/idea,sites.ed.gov,knowledge_content,,knowledge_content,IDEA Individuals with Disabilities Education Act,author_first_candidate,author_first,,author_first_candidate,,0,docs/generated/knowledge-content-status-queue-2026-06-19.json,"Build source-backed special education, IEP, and procedural safeguards content.",No immediate fetch work is needed; this exact target is already promoted.,
launch-url-00013,https://sites.ed.gov/idea/idea-files/osep-memo-and-qa-on-dispute-resolution,sites.ed.gov,knowledge_content,,knowledge_content,OSEP IDEA Dispute Resolution Overview,author_first_candidate,author_first,,author_first_candidate,,0,docs/generated/knowledge-content-status-queue-2026-06-19.json,"Build official complaint, mediation, and due-process journey explainers.",No immediate fetch work is needed; this exact target is already promoted.,
launch-url-00014,https://sites.ed.gov/idea/regs/b/d/300.304,sites.ed.gov,knowledge_content,,knowledge_content,IDEA Evaluation Procedures,author_first_candidate,author_first,,author_first_candidate,,0,docs/generated/knowledge-content-status-queue-2026-06-19.json,"Add exact official evaluation-procedures content to deepen assessment, eligibility, and school-support journeys.",This blocked target was explicitly skipped as unresolved; do not retry it in the bounded lane.,
launch-url-00015,https://sites.ed.gov/idea/regs/b/d/300.321,sites.ed.gov,knowledge_content,,knowledge_content,IDEA IEP Team,author_first_candidate,author_first,,author_first_candidate,,0,docs/generated/knowledge-content-status-queue-2026-06-19.json,Add exact official IEP-team content to deepen meeting preparation and parent-participation guidance.,This blocked target was explicitly skipped as unresolved; do not retry it in the bounded lane.,
launch-url-00016,https://sites.ed.gov/idea/regs/b/d/300.324,sites.ed.gov,knowledge_content,,knowledge_content,IDEA Development Review and Revision of IEP,author_first_candidate,author_first,,author_first_candidate,,0,docs/generated/knowledge-content-status-queue-2026-06-19.json,Add exact official IEP review-and-revision content to deepen ongoing plan management and update guidance.,This blocked target was explicitly skipped as unresolved; do not retry it in the bounded lane.,
launch-url-00017,https://www.childrensal.org/,childrensal.org,providers_care,alabama,resource_providers,Children's of Alabama,author_first_candidate,author_first,static_fetch,author_first_candidate,,1,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/scrape-now-only-2026-06-18.json,Named first-party Alabama pediatric hospital target replacing generic placeholder.,,
launch-url-00018,https://www.hhsys.org/,hhsys.org,providers_care,alabama,resource_providers,Huntsville Hospital for Women & Children,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,"Official health-system first-party target for Huntsville Hospital for Women & Children, added to deepen Alabama pediatric provider coverage beyond Birmingham anchors.",,
launch-url-00019,https://www.uabmedicine.org/,uabmedicine.org,providers_care,alabama,resource_providers,UAB Medicine Pediatrics,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/scrape-now-only-2026-06-18.json,First-party Alabama academic medical system target for pediatric and specialty clinic discovery.,,
launch-url-00020,https://anmc.org/,anmc.org,providers_care,alaska,resource_providers,Alaska Native Medical Center,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/scrape-now-only-2026-06-18.json,Named Alaska Native Medical Center first-party site recovered from the archived Alaska provider page saved in source-acquisition runs.,,
launch-url-00021,https://anthc.org/patient-care/bhwc,anthc.org,providers_care,alaska,resource_providers,Behavioral Health Wellness Clinic at ANMC,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/scrape-now-only-2026-06-18.json,First-party ANTHC behavioral health clinic page linked from the archived Alaska provider page saved in source-acquisition runs.,,
launch-url-00022,https://anthc.org/patient-care/specialty-care,anthc.org,providers_care,alaska,resource_providers,ANMC and Specialty Care,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/scrape-now-only-2026-06-18.json,First-party ANTHC specialty care page linked from the archived Alaska provider page saved in source-acquisition runs.,,
launch-url-00023,https://www.anthc.org/what-we-do/alaska-native-medical-center/pediatrics,anthc.org,providers_care,alaska,resource_providers,Alaska Native Medical Center Pediatrics,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Saved first-party ANMC pediatrics target already evidenced in repo provider seed artifacts with Anchorage address and phone.,,
launch-url-00024,https://www.bannerhealth.com/locations/mesa/banner-desert-medical-center,bannerhealth.com,providers_care,arizona,resource_providers,Banner Children's at Desert,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Official Banner first-party campus page for Banner Children's at Desert on the Mesa Banner Desert campus.,,
launch-url-00025,https://www.childrenshospital.org/,childrenshospital.org,providers_care,arizona,resource_providers,Arizona Children's Hospital Clinics,author_first_candidate,author_first,manual_review,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Initial category-level scaffold source target for Arizona.,,Generic clinic or hospital target (not state-specific)
launch-url-00026,https://www.phoenixchildrens.org/,phoenixchildrens.org,providers_care,arizona,resource_providers,Phoenix Children's,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Official Arizona pediatric hospital system target replacing generic placeholder coverage with a named first-party children's hospital source.,,
launch-url-00027,https://www.tmcaz.com/,tmcaz.com,providers_care,arizona,resource_providers,TMC for Children,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Official Tucson Medical Center first-party target for pediatric hospital and children's services coverage in southern Arizona.,,
launch-url-00028,https://www.archildrens.org/,archildrens.org,providers_care,arkansas,resource_providers,Arkansas Children's Hospital,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/db-discovered-source-targets-2026-06-18.json; docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Official Arkansas Children's first-party hospital target replacing the generic placeholder domain with the named pediatric hospital source.,,
launch-url-00029,https://www.childrenshospital.org/,childrenshospital.org,providers_care,arkansas,resource_providers,Arkansas Children's Hospital Clinics,author_first_candidate,author_first,manual_review,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Initial category-level scaffold source target for Arkansas.,,Generic clinic or hospital target (not state-specific)
launch-url-00030,https://www.mercy.net/,mercy.net,providers_care,arkansas,resource_providers,Mercy Hospital Northwest Arkansas,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,"Official Mercy first-party system target covering Arkansas operations, including Northwest Arkansas hospital services.",,
launch-url-00031,https://www.uamshealth.com/,uamshealth.com,providers_care,arkansas,resource_providers,UAMS Health,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Official first-party UAMS clinical system target for statewide pediatric and specialty clinic coverage in Arkansas.,,
launch-url-00032,https://www.chla.org/,chla.org,providers_care,california,resource_providers,Children's Hospital Los Angeles,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/db-discovered-source-targets-2026-06-18.json; docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Saved first-party CHLA homepage target already evidenced in repo seed artifacts with main campus address and phone.,,
launch-url-00033,https://www.chla.org/autism-and-developmental-medicine,chla.org,providers_care,california,resource_providers,Children's Hospital Los Angeles Boone Fetter Clinic,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/scrape-now-only-2026-06-18.json,Children's developmental medicine and autism specialty services.,,
launch-url-00034,https://health.ucdavis.edu/mindinstitute,health.ucdavis.edu,providers_care,california,resource_providers,UC Davis MIND Institute,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/scrape-now-only-2026-06-18.json,California developmental and autism specialty provider source.,,
launch-url-00035,https://www.stanfordchildrens.org/en/services/autism,stanfordchildrens.org,providers_care,california,resource_providers,Stanford Children's Health Autism Services,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/scrape-now-only-2026-06-18.json,California autism and developmental care provider source.,,
launch-url-00036,https://www.childrenscolorado.org/,childrenscolorado.org,providers_care,colorado,resource_providers,Children's Hospital Colorado,author_first_candidate,author_first,static_fetch,author_first_candidate,,1,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/scrape-now-only-2026-06-18.json,Concrete first-party pediatric hospital target for Colorado provider buildout.,,
launch-url-00037,https://www.denverhealth.org/,denverhealth.org,providers_care,colorado,resource_providers,Denver Health,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Official Denver Health first-party health-system target to deepen Colorado provider coverage with a major academic public hospital source.,,
launch-url-00038,https://medschool.cuanschutz.edu/jfk-partners,medschool.cuanschutz.edu,providers_care,colorado,resource_providers,JFK Partners,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/scrape-now-only-2026-06-18.json,Concrete first-party university developmental disabilities clinic target for Colorado.,,
launch-url-00039,https://www.childrenshospital.org/,childrenshospital.org,providers_care,connecticut,resource_providers,Connecticut Children's Hospital Clinics,author_first_candidate,author_first,manual_review,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Initial category-level scaffold source target for Connecticut.,,Generic clinic or hospital target (not state-specific)
launch-url-00040,https://www.connecticutchildrens.org/,connecticutchildrens.org,providers_care,connecticut,resource_providers,Connecticut Children's,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Official Connecticut Children's first-party hospital target replacing the generic placeholder domain with the named pediatric system source.,,
launch-url-00041,https://health.uconn.edu/,health.uconn.edu,providers_care,connecticut,resource_providers,UConn Health,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Official UConn Health first-party academic medical system target to deepen pediatric and specialty clinic coverage in Connecticut.,,
launch-url-00042,https://www.ynhh.org/childrens-hospital,ynhh.org,providers_care,connecticut,resource_providers,Yale New Haven Children's Hospital,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Official Yale New Haven Children's first-party pediatric hospital target for statewide specialty coverage in Connecticut.,,
launch-url-00043,https://www.bayhealth.org/,bayhealth.org,providers_care,delaware,resource_providers,Bayhealth Medical Center,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Official Bayhealth first-party hospital system target for central and southern Delaware provider coverage.,,
launch-url-00044,https://www.childrenshospital.org/,childrenshospital.org,providers_care,delaware,resource_providers,Delaware Children's Hospital Clinics,author_first_candidate,author_first,manual_review,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Initial category-level scaffold source target for Delaware.,,Generic clinic or hospital target (not state-specific)
launch-url-00045,https://christianacare.org/,christianacare.org,providers_care,delaware,resource_providers,ChristianaCare,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Official ChristianaCare first-party health-system target for Delaware pediatric and family-facing hospital coverage.,,
launch-url-00046,https://www.nemours.org/,nemours.org,providers_care,delaware,resource_providers,"Nemours Children's Hospital, Delaware",author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,"Official Nemours first-party pediatric hospital target for Delaware, replacing the generic placeholder domain with the named children's system source.",,
launch-url-00047,https://www.marcus.org/,marcus.org,providers_care,georgia,resource_providers,CHOA Marcus Autism Center,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/authored-missing-source-targets-2026-06-19.json; docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/provider-source-pack-plan-2026-06-19.json; docs/generated/scrape-now-only-2026-06-18.json,Georgia first-party autism clinic target already present in state source targets.,,
launch-url-00048,https://www.marcus.org/care-and-services/medical-services,marcus.org,providers_care,georgia,resource_providers,Marcus Autism Center Medical Services,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/authored-missing-source-targets-2026-06-19.json; docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/provider-source-pack-plan-2026-06-19.json,Saved first-party Marcus Autism Center service subpage recovered from the archived Georgia homepage fetch.,,
launch-url-00049,https://www.marcus.org/contact-us,marcus.org,providers_care,georgia,resource_providers,Marcus Autism Center Contact Us,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/authored-missing-source-targets-2026-06-19.json; docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/provider-source-pack-plan-2026-06-19.json; docs/generated/scrape-now-only-2026-06-18.json,Georgia first-party contact page already present in DB-discovered provider sources.,,
launch-url-00050,https://www.childrenshospital.org/,childrenshospital.org,providers_care,hawaii,resource_providers,Hawaii Children's Hospital Clinics,author_first_candidate,author_first,manual_review,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Initial category-level scaffold source target for Hawaii.,,Generic clinic or hospital target (not state-specific)
launch-url-00051,https://www.hawaii.edu/medicine/pediatrics,hawaii.edu,providers_care,hawaii,resource_providers,University of Hawaiʻi John A. Burns School of Medicine Department of Pediatrics,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Official University of Hawaii pediatrics department source tied to state pediatric training and partner clinical network.,,
launch-url-00052,https://www.hawaiipacifichealth.org/kapiolani,hawaiipacifichealth.org,providers_care,hawaii,resource_providers,Kapiolani Medical Center for Women & Children,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/db-discovered-source-targets-2026-06-18.json; docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Official Hawaii Pacific Health pediatric hospital target for Hawaii provider coverage.,,
launch-url-00053,https://www.shrinerschildrens.org/en/locations/hawaii,shrinerschildrens.org,providers_care,hawaii,resource_providers,Shriners Children's Hawaiʻi,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Official Shriners Children's Hawaii specialty pediatric care location with address and appointment contact on the first-party page.,,
launch-url-00054,https://www.childrenshospital.org/,childrenshospital.org,providers_care,idaho,resource_providers,Idaho Children's Hospital Clinics,author_first_candidate,author_first,manual_review,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Initial category-level scaffold source target for Idaho.,,Generic clinic or hospital target (not state-specific)
launch-url-00055,https://www.portneuf.org/,portneuf.org,providers_care,idaho,resource_providers,Portneuf Medical Center,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Official Portneuf first-party medical center target for southeast Idaho hospital and clinic coverage.,,
launch-url-00056,https://www.saintalphonsus.org/,saintalphonsus.org,providers_care,idaho,resource_providers,Saint Alphonsus Regional Medical Center,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Official Saint Alphonsus first-party hospital system target for southwest Idaho provider coverage.,,
launch-url-00057,https://www.stlukesonline.org/,stlukesonline.org,providers_care,idaho,resource_providers,St. Luke's Children's,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Official St. Luke's first-party health system target for Idaho pediatric and specialty provider coverage.,,
launch-url-00058,https://healthcare.ascension.org/locations/indiana/inasc/pmch,healthcare.ascension.org,providers_care,indiana,resource_providers,Peyton Manning Children's Hospital,author_first_candidate,author_first,static_fetch,author_first_candidate,,1,docs/generated/authored-missing-source-targets-2026-06-19.json; docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/provider-source-pack-plan-2026-06-19.json; docs/generated/scrape-now-only-2026-06-18.json,Concrete first-party Indiana pediatric hospital target verified on Ascension's public children’s site.,,
launch-url-00059,https://healthcare.ascension.org/locations/indiana/inasc/pmch/departments-and-services/departments/pediatric-neurology,healthcare.ascension.org,providers_care,indiana,resource_providers,Peyton Manning Children's Hospital Pediatric Neurology,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/authored-missing-source-targets-2026-06-19.json; docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/provider-source-pack-plan-2026-06-19.json,Saved first-party Peyton Manning Children's Hospital specialty department URL recovered from the archived Indiana hospital page.,,
launch-url-00060,https://iuhealth.org/,iuhealth.org,providers_care,indiana,resource_providers,Indiana University Health Pediatric Care,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/authored-missing-source-targets-2026-06-19.json; docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/provider-source-pack-plan-2026-06-19.json; docs/generated/scrape-now-only-2026-06-18.json,Concrete first-party statewide pediatric care system target for Indiana.,,
launch-url-00061,https://www.rileychildrens.org/,rileychildrens.org,providers_care,indiana,resource_providers,Riley Children's Health,author_first_candidate,author_first,static_fetch,author_first_candidate,,1,docs/generated/authored-missing-source-targets-2026-06-19.json; docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/provider-source-pack-plan-2026-06-19.json; docs/generated/scrape-now-only-2026-06-18.json,Concrete first-party pediatric hospital target for Indiana provider buildout.,,
launch-url-00062,https://www.mercyone.org/desmoines,mercyone.org,providers_care,iowa,resource_providers,MercyOne Des Moines Medical Center,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,Official MercyOne Des Moines first-party medical center target for additional central Iowa pediatric and hospital coverage.,,
launch-url-00063,http://www.uichildrens.org/,uichildrens.org,providers_care,iowa,resource_providers,University of Iowa Stead Family Children's Hospital,author_first_candidate,author_first,static_fetch,author_first_candidate,,1,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/scrape-now-only-2026-06-18.json,Named first-party Iowa children's hospital target replacing generic placeholder.,,
launch-url-00064,https://www.unitypoint.org/desmoines/iowa-methodist-medical-center.aspx,unitypoint.org,providers_care,iowa,resource_providers,Blank Children's Hospital,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/scrape-now-only-2026-06-18.json,First-party Iowa pediatric hospital system target within UnityPoint's Iowa Methodist campus.,,
launch-url-00065,https://www.childrensmercy.org/,childrensmercy.org,providers_care,kansas,resource_providers,Children's Mercy Kansas City,author_first_candidate,author_first,static_fetch,author_first_candidate,,1,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/scrape-now-only-2026-06-18.json,Concrete first-party pediatric hospital target serving the Kansas City region and Kansas families.,,
launch-url-00066,https://www.kansashealthsystem.com/,kansashealthsystem.com,providers_care,kansas,resource_providers,The University of Kansas Health System Pediatric Care,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/scrape-now-only-2026-06-18.json,Concrete first-party academic health system target for Kansas pediatric specialty care.,,
launch-url-00067,https://www.wesleymc.com/specialties/pediatrics,wesleymc.com,providers_care,kansas,resource_providers,Wesley Children's Hospital,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json,"Official Wesley pediatric care page describing Wesley Children's Hospital in Wichita, pediatric specialties, and on-page contact/location details.",,
launch-url-00068,https://medicine.louisville.edu/academics-programs/academic-departments/pediatrics,medicine.louisville.edu,providers_care,kentucky,resource_providers,University of Louisville Pediatrics,author_first_candidate,author_first,static_fetch,author_first_candidate,,2,docs/generated/authored-missing-source-targets-2026-06-19.json; docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/provider-source-pack-plan-2026-06-19.json; docs/generated/scrape-now-only-2026-06-18.json,Concrete first-party academic pediatrics target added to lift Kentucky into pull-now provider readiness.,,
launch-url-00069,https://nortonchildrens.com/,nortonchildrens.com,providers_care,kentucky,resource_providers,Norton Children's Hospital,author_first_candidate,author_first,static_fetch,author_first_candidate,,1,docs/generated/authored-missing-source-targets-2026-06-19.json; docs/generated/master-source-target-ledger-2026-06-19.json; docs/generated/provider-authoring-backlog-2026-06-19.json; docs/generated/provider-source-pack-plan-2026-06-19.json; docs/generated/scrape-now-only-2026-06-18.json,Concrete first-party pediatric hospital target for Kentucky provider buildout.,,
